epoch,train_loss_total,train_loss_lesion,train_loss_lesion_dense,train_loss_lesion_sparse,train_loss_lesion_sys,em_w_lesion_dense,em_w_lesion_sparse,em_w_lesion_sys,active_lesion_dense,active_lesion_sparse,active_lesion_sys,train_loss_num_batches,train_loss_num_cases,train_loss_dense_cases,train_loss_sparse_cases,train_loss_sparse_voxels,train_loss_sys_cases,train_loss_sys_regions,val_loss_total,val_loss_lesion,val_loss_lesion_dense,val_loss_lesion_sparse,val_loss_lesion_sys,val_lesion_dice,val_lesion_f1,val_lesion_sens,val_lesion_spec,val_patient_bacc,val_patient_sens,val_patient_spec,val_patient_auc,val_patient_auprc,val_patient_n,val_region_bacc,val_region_sens,val_region_spec,val_region_auc,val_region_auprc,val_region_n,val_loss_num_batches,val_loss_num_cases,val_loss_dense_cases,val_loss_sparse_cases,val_loss_sparse_voxels,val_loss_sys_cases,val_loss_sys_regions,best_model_metric_name,use_em_weighting,use_logvar_clamp,use_curriculum,em_lr_multiplier,lesion_dense_enabled_this_epoch,lesion_sparse_enabled_this_epoch,lesion_sys_enabled_this_epoch
1,0.835511826,0.836316313,1.070269513,0,0,0.965388003,0,0,0.78245614,0,0,285,1139,348,0,0,0,0,0.309793633,0.309691938,1.003789604,0,0,0.1663314,0.20642984,0.255653764,0.988337287,0.680952381,0.733333333,0.628571429,0.755079365,0.84380332,285,0.502819056,0.027272727,0.978365385,0.508440778,0.077208433,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
2,0.731222991,0.731386053,0.970794503,0,0,1.001829693,0,0,0.754385965,0,0,285,1139,348,0,0,0,0,0.291588751,0.292007701,0.946563675,0,0,0.217067647,0.245104027,0.396072653,0.98137082,0.530555556,0.994444444,0.066666667,0.635026455,0.730866706,285,0.51715472,0.363636364,0.670673077,0.516209572,0.082488992,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
3,0.728199094,0.729757303,0.935723372,0,0,1.05141754,0,0,0.778947368,0,0,285,1139,348,0,0,0,0,0.282148164,0.283212573,0.918801569,0,0,0.226567668,0.259589192,0.389350906,0.984124986,0.61468254,0.905555556,0.323809524,0.721798942,0.785274788,285,0.55541958,0.245454545,0.865384615,0.510342002,0.079139382,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
4,0.693805502,0.698407141,0.902939784,0,0,1.096267847,0,0,0.78245614,0,0,285,1139,348,0,0,0,0,0.271863002,0.273966056,0.889171466,0,0,0.245027072,0.274530697,0.391741508,0.985353594,0.533730159,0.972222222,0.095238095,0.654814815,0.7409863,285,0.545022946,0.345454545,0.744591346,0.521399694,0.081550654,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
5,0.646861509,0.652816881,0.88120301,0,0,1.125844374,0,0,0.743859649,0,0,285,1139,348,0,0,0,0,0.263327175,0.26647482,0.863055277,0,0,0.263856721,0.295114708,0.294296168,0.99402456,0.504761905,0.933333333,0.076190476,0.696560847,0.813211238,285,0.517559003,0.245454545,0.789663462,0.508287806,0.078834749,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
6,0.654455344,0.66152984,0.866441709,0,0,1.146795466,0,0,0.761403509,0,0,285,1139,348,0,0,0,0,0.258439873,0.262212363,0.85049996,0,0,0.268901786,0.296337882,0.501570125,0.980917194,0.494444444,0.988888889,0,0.597328042,0.703525196,285,0.510134397,0.409090909,0.611177885,0.510850087,0.070084633,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
7,0.643921915,0.654902369,0.838261663,0,0,1.161192218,0,0,0.778947368,0,0,285,1139,348,0,0,0,0,0.253447598,0.25811412,0.835773644,0,0,0.279108419,0.31951205,0.391084491,0.990157465,0.503968254,0.922222222,0.085714286,0.66973545,0.763011862,285,0.514368444,0.272727273,0.756009615,0.502097902,0.073087872,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
8,0.625898978,0.637705473,0.829307036,0,0,1.188959984,0,0,0.764912281,0,0,285,1139,348,0,0,0,0,0.247609384,0.253253862,0.821596087,0,0,0.290704887,0.337302608,0.414172222,0.989874233,0.51031746,0.944444444,0.076190476,0.684391534,0.763918527,285,0.554228584,0.390909091,0.717548077,0.558047421,0.077637675,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
9,0.659108178,0.673542428,0.824610702,0,0,1.20393226,0,0,0.81754386,0,0,285,1139,348,0,0,0,0,0.247192041,0.252938184,0.820300774,0,0,0.293309034,0.332402418,0.385537165,0.991179788,0.505555556,0.944444444,0.066666667,0.706084656,0.805653505,285,0.543629808,0.3,0.787259615,0.550803103,0.080486683,1774,72,285,87,0,0,0,0,composite,1,1,1,10,1,0,0
10,1.773961413,1.769504279,0.978257437,1.028269718,0,1.124656949,0.990670233,0,0.771929825,0.985964912,0,285,1139,348,783,772522,0,0,0.949850855,0.951456568,0.89065328,0.958999952,0,0.223831851,0.277528862,0.284024357,0.992877005,0.670634921,0.788888889,0.552380952,0.766402116,0.875858701,285,0.501316652,0.027272727,0.975360577,0.563931381,0.098359063,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
11,1.580707258,1.589964406,0.854790279,0.929591154,0,1.115998821,1.008649728,0,0.771929825,0.978947368,0,285,1139,348,781,772522,0,0,0.925897306,0.930912627,0.837403696,0.954525178,0,0.276892131,0.31220789,0.412499479,0.98794907,0.702380952,0.766666667,0.638095238,0.777301587,0.880727916,285,0.524420892,0.090909091,0.957932692,0.593684441,0.115748938,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
12,1.5715975,1.585325006,0.82630815,0.93581278,0,1.183375784,1.024993338,0,0.778947368,0.985964912,0,285,1139,348,780,772522,0,0,0.908906288,0.915661746,0.817665244,0.942079559,0,0.303377853,0.344727841,0.429191774,0.990382672,0.707539682,0.538888889,0.876190476,0.76015873,0.875202715,285,0.511909965,0.045454545,0.978365385,0.587723995,0.094767496,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
13,1.516909304,1.532077167,0.827675811,0.914191981,0,1.200140231,1.045417685,0,0.754385965,0.98245614,0,285,1139,348,781,772522,0,0,0.908213995,0.91544006,0.815996291,0.94493429,0,0.297292361,0.335398761,0.49318699,0.986237918,0.696428571,0.583333333,0.809523809,0.775661376,0.881636305,285,0.519536713,0.072727273,0.966346154,0.583866914,0.104646633,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
14,1.533679704,1.550500266,0.814401834,0.916667271,0,1.219038491,1.059104561,0,0.761403509,0.992982456,0,285,1139,348,782,772522,0,0,0.910014482,0.916077398,0.842474883,0.931690068,0,0.281804263,0.309759103,0.603079047,0.976567299,0.548809524,0.916666667,0.180952381,0.771058201,0.88045832,285,0.531900131,0.154545455,0.909254808,0.621033654,0.107682175,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
15,1.491987228,1.510265447,0.810667062,0.911475863,0,1.221430153,1.074288088,0,0.754385965,0.978947368,0,285,1139,348,783,772522,0,0,0.892521678,0.901199697,0.80870685,0.927318612,0,0.316275286,0.353407607,0.509223972,0.987102796,0.711904762,0.633333333,0.79047619,0.784338624,0.887960587,285,0.513975087,0.036363636,0.991586538,0.633143029,0.118848161,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
16,1.484240687,1.506786214,0.79959705,0.912200286,0,1.236613472,1.080944953,0,0.757894737,0.98245614,0,285,1139,348,781,772522,0,0,0.891122057,0.900261921,0.801916542,0.92814253,0,0.311120423,0.348417221,0.570705169,0.983383473,0.651984127,0.827777778,0.476190476,0.782804233,0.886969435,285,0.51254917,0.054545455,0.970552885,0.62852382,0.110126637,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
17,1.517090837,1.539143151,0.795447496,0.907442794,0,1.254353305,1.084119586,0,0.789473684,0.989473684,0,285,1139,348,782,772522,0,0,0.890924559,0.900561228,0.791231029,0.930619493,0,0.316013529,0.361385798,0.393262967,0.992785696,0.668650794,0.794444444,0.542857143,0.783968254,0.888116037,285,0.515854458,0.054545455,0.977163462,0.6348066,0.109692641,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
18,1.468484469,1.490551125,0.792736582,0.90484878,0,1.256750354,1.087564593,0,0.747368421,0.978947368,0,285,1139,348,779,772522,0,0,0.880689355,0.891709818,0.779595782,0.92360111,0,0.328340552,0.37106923,0.429404343,0.991796291,0.640873016,0.872222222,0.409523809,0.786507937,0.890002902,285,0.52498361,0.081818182,0.968149038,0.648989292,0.113502962,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
19,1.470162945,1.494466714,0.783303653,0.905648459,0,1.264283785,1.096918562,0,0.761403509,0.985964912,0,285,1139,348,782,772522,0,0,0.897685034,0.905148132,0.822811511,0.926542994,0,0.312108819,0.362687016,0.391387456,0.993056983,0.687698413,0.727777778,0.647619048,0.796137566,0.894091286,285,0.5,0,1,0.63630354,0.10759104,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
20,1.450520324,1.472909983,0.78311663,0.901437457,0,1.264172817,1.093782748,0,0.726315789,0.98245614,0,285,1139,348,782,772522,0,0,0.886024842,0.895941174,0.793512226,0.924871996,0,0.314791572,0.356637172,0.458679902,0.989465106,0.577380952,0.983333333,0.171428571,0.793809524,0.89163603,285,0.543280157,0.145454545,0.941105769,0.646593641,0.118156374,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
21,1.476747378,1.505416526,0.778300022,0.89887288,0,1.276131256,1.084865529,0,0.792982456,0.98245614,0,285,1139,348,782,772522,0,0,0.886532971,0.896108858,0.797277468,0.925540676,0,0.308380161,0.34910759,0.339887569,0.994594779,0.717857143,0.75,0.685714286,0.79984127,0.896406976,285,0.510631556,0.027272727,0.993990385,0.655741914,0.12532395,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
22,1.442996063,1.47043314,0.771325682,0.898751073,0,1.284064629,1.100979778,0,0.761403509,0.971929825,0,285,1139,348,779,772522,0,0,0.880774915,0.891810179,0.778768624,0.924738394,0,0.327592766,0.370492671,0.462415641,0.990312384,0.61984127,0.811111111,0.428571429,0.763756614,0.877711911,285,0.518673514,0.081818182,0.955528846,0.648147946,0.109323221,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
23,1.455184773,1.485706222,0.764376953,0.897518649,0,1.308034356,1.100393331,0,0.775438596,0.985964912,0,285,1139,348,780,772522,0,0,0.888105948,0.898151937,0.783958153,0.929535491,0,0.325229905,0.364955116,0.523488269,0.98707457,0.655555556,0.844444444,0.466666667,0.791005291,0.887645529,285,0.529906031,0.109090909,0.950721154,0.647546984,0.116686995,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
24,1.460498684,1.490026941,0.76525436,0.896236414,0,1.30027962,1.107514259,0,0.778947368,0.985964912,0,285,1139,348,781,772522,0,0,0.880963456,0.891557715,0.786577914,0.920698087,0,0.318852805,0.364769519,0.346474961,0.995040436,0.670634921,0.855555556,0.485714286,0.797619048,0.893107339,285,0.518973995,0.081818182,0.956129808,0.673120629,0.119882295,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
25,1.45343743,1.478727261,0.764637042,0.896967408,0,1.302182034,1.099699319,0,0.740350877,0.98245614,0,285,1139,348,781,772522,0,0,0.881409639,0.892096006,0.784730869,0.923624446,0,0.32286946,0.364249353,0.394105719,0.993139469,0.671428571,0.866666667,0.476190476,0.809417989,0.897256513,285,0.51919799,0.063636364,0.974759615,0.682096809,0.130649484,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
26,1.414043008,1.445281678,0.758172733,0.889430424,0,1.299240019,1.092515319,0,0.743859649,0.98245614,0,285,1139,348,780,772522,0,0,0.882475705,0.892869636,0.786353097,0.926694128,0,0.318532512,0.357774908,0.42603563,0.991051904,0.704761905,0.733333333,0.676190476,0.796719577,0.896043679,285,0.50548514,0.018181818,0.992788462,0.648371941,0.120881304,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
27,1.402488981,1.435310541,0.752136494,0.890602503,0,1.313286903,1.112323637,0,0.736842105,0.98245614,0,285,1139,348,782,772522,0,0,0.876093181,0.887792916,0.772240023,0.924075736,0,0.332823883,0.375939715,0.452145969,0.991145539,0.634126984,0.877777778,0.39047619,0.792645503,0.888720646,285,0.529829545,0.090909091,0.96875,0.657408217,0.122123506,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
28,1.439680596,1.474378314,0.743491564,0.892082078,0,1.328028945,1.111715091,0,0.768421053,0.992982456,0,285,1139,348,782,772522,0,0,0.87930764,0.890017183,0.783068397,0.920986616,0,0.323252559,0.368307252,0.408200669,0.992585889,0.685714286,0.8,0.571428571,0.796296296,0.89144377,285,0.529228584,0.090909091,0.967548077,0.650546329,0.115881994,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
29,1.431882077,1.465619097,0.744664102,0.89022378,0,1.336256405,1.095346718,0,0.761403509,0.985964912,0,285,1139,348,782,772522,0,0,0.878527871,0.889934692,0.77288163,0.925986615,0,0.331592877,0.381866122,0.39396757,0.99410986,0.626190476,0.833333333,0.419047619,0.77989418,0.882813193,285,0.527086976,0.081818182,0.972355769,0.644711538,0.114974183,1774,72,285,87,193,177463,0,0,composite,1,1,1,10,1,1,0
30,1.981414462,2.046713453,0.748888568,0.89126237,0.628700069,1.335202663,1.100269937,1.097511468,0.743859649,0.985964912,0.978947368,285,1139,348,780,772522,712,7073,1.310247174,1.356723048,0.778891533,0.939040539,0.658014483,0.324452576,0.368543354,0.394624003,0.993212048,0.744047619,0.583333333,0.904761905,0.797037037,0.895575671,285,0.507888986,0.018181818,0.997596154,0.677365603,0.140260936,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
31,1.965511003,2.074741923,0.744732559,0.898799556,0.620884328,1.341752772,1.109071585,1.283528903,0.768421053,0.996491228,0.98245614,285,1139,348,783,772522,712,7073,1.272130161,1.337918394,0.772472763,0.919652992,0.648986682,0.331413775,0.379743508,0.483853849,0.990280921,0.682539682,0.755555556,0.609523809,0.793597884,0.891834897,285,0.530692745,0.081818182,0.979567308,0.684161932,0.137716659,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
32,1.90258922,2.029310116,0.737819037,0.890125247,0.620239453,1.334864225,1.100783855,1.423066883,0.757894737,0.964912281,0.968421053,285,1139,348,780,772522,712,7073,1.327458298,1.386484169,0.811919271,0.957463835,0.67018013,0.294618915,0.33704378,0.272083453,0.997193167,0.751587302,0.522222222,0.980952381,0.818465608,0.905571546,285,0.5,0,1,0.68169799,0.134481506,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
33,1.928272471,2.059381622,0.739422825,0.89627472,0.617883329,1.340369881,1.096457068,1.508784378,0.761403509,0.985964912,0.975438596,285,1139,348,782,772522,712,7073,1.277136796,1.346012032,0.770764304,0.921732248,0.654872158,0.332234471,0.381116374,0.457076899,0.991462148,0.624206349,0.905555556,0.342857143,0.804656085,0.899433636,285,0.535653409,0.118181818,0.953125,0.651983173,0.127090209,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
34,1.882041892,2.031618984,0.733671648,0.893002257,0.621007292,1.359016725,1.10358878,1.571651093,0.764912281,0.985964912,0.975438596,285,1139,348,782,772522,712,7073,1.263225373,1.336067305,0.773077799,0.920804914,0.645547972,0.33082311,0.380251916,0.527828648,0.988376977,0.686507936,0.877777778,0.495238095,0.815978836,0.901805497,285,0.546131993,0.109090909,0.983173077,0.664084353,0.14774954,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
35,1.883021602,2.036358223,0.729172083,0.893123901,0.609020463,1.359122531,1.095150285,1.630729596,0.757894737,0.996491228,0.985964912,285,1139,348,783,772522,712,7073,1.28723297,1.353855096,0.78402844,0.934985889,0.65587799,0.32176073,0.3626895,0.358517013,0.994457939,0.74484127,0.594444444,0.895238095,0.824021164,0.907701274,285,0.499699519,0,0.999399038,0.678204218,0.129527765,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
36,1.864667154,2.020976919,0.723010173,0.892391232,0.607221821,1.37793729,1.100153332,1.656985868,0.757894737,0.98245614,0.978947368,285,1139,348,782,772522,712,7073,1.267316523,1.339145875,0.772059196,0.924144403,0.645475661,0.330755028,0.378934605,0.418777855,0.992887763,0.64047619,0.9,0.380952381,0.819417989,0.90390286,285,0.554135708,0.154545455,0.953725962,0.669285402,0.135913176,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
37,1.854025075,2.013386466,0.724830173,0.894283943,0.599910982,1.38216807,1.097574805,1.670455263,0.771929825,0.978947368,0.968421053,285,1139,348,781,772522,712,7073,1.264093376,1.336131874,0.776630931,0.921793319,0.642255016,0.328404639,0.374722097,0.439689033,0.991737658,0.682142857,0.85,0.514285714,0.81010582,0.899299195,285,0.554698427,0.145454545,0.963942308,0.688144668,0.153868602,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
38,1.853597594,2.017897738,0.730745278,0.890947882,0.582139907,1.373628985,1.102949662,1.696839217,0.761403509,0.992982456,0.985964912,285,1139,348,782,772522,712,7073,1.281962829,1.349313238,0.774207031,0.933070952,0.651169558,0.329615899,0.376730853,0.472738929,0.990371118,0.68968254,0.855555556,0.523809524,0.79984127,0.894494473,285,0.549590253,0.145454545,0.953725962,0.68121722,0.145676076,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
39,1.85238675,2.021483851,0.714078694,0.891101029,0.591349927,1.370079064,1.106351721,1.720273751,0.789473684,0.992982456,0.975438596,285,1139,348,783,772522,712,7073,1.299026046,1.36038568,0.787651174,0.935499547,0.655780876,0.322138141,0.368683493,0.371160619,0.994348461,0.643650794,0.877777778,0.409523809,0.798941799,0.895185384,285,0.566346154,0.2,0.932692308,0.652731643,0.118371349,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
40,1.773493817,1.954188209,0.712686739,0.890945835,0.578667766,1.389424068,1.112679575,1.734160893,0.733333333,0.985964912,0.985964912,285,1139,348,779,772522,712,7073,1.303990728,1.362715566,0.770299172,0.939892984,0.660641526,0.333106728,0.376000858,0.488728887,0.989683403,0.618650794,0.894444444,0.342857143,0.794497354,0.890318998,285,0.552862762,0.209090909,0.896634615,0.655539773,0.113338985,1774,72,285,87,193,177463,182,1774,composite,1,1,1,10,1,1,1
